cycle,mean,median,max,min,std
0,60.68,60.39,68.14,53.08,4.55
1,60.70,60.64,69.67,50.78,5.00
2,64.26,62.54,75.12,54.20,6.64
3,63.52,63.31,70.92,52.08,5.95
4,60.98,60.29,68.31,51.85,5.21
5,59.65,58.94,65.73,55.78,2.83
6,60.77,60.64,72.75,46.50,6.37
7,63.45,64.07,72.50,50.23,6.50
8,61.15,60.69,69.48,48.89,5.53
9,57.52,58.25,71.33,47.52,7.31
10,61.17,63.37,69.34,51.07,5.68
11,62.34,62.19,71.50,55.00,3.97
12,61.51,63.88,68.75,48.25,5.76
13,60.86,60.70,65.50,49.00,4.40
14,60.20,60.96,68.72,50.31,6.00
15,60.34,61.11,69.76,43.00,7.14
16,58.64,60.37,67.71,44.00,7.13
17,59.78,60.57,66.88,51.60,4.12
18,59.16,60.74,71.38,48.04,7.36
19,60.79,60.06,71.71,46.50,8.14
20,60.85,60.69,67.77,49.80,5.15
21,59.88,59.77,71.65,53.22,5.00
22,58.51,57.70,64.59,53.24,3.59
23,59.02,58.24,67.83,51.50,4.30
24,57.21,57.40,66.79,49.82,4.47
25,55.71,57.30,62.33,40.00,6.27
26,56.32,56.21,68.60,44.00,7.16
27,61.10,62.53,68.40,44.58,5.84
28,62.12,59.94,76.00,54.00,7.22
29,60.41,61.72,68.07,47.19,5.90
30,60.22,58.81,71.25,49.17,6.21
31,60.95,58.18,71.63,48.88,7.54
32,60.87,60.97,73.91,51.40,6.16
33,60.89,59.94,67.67,54.50,4.53
34,61.24,59.79,69.75,48.83,5.64
35,60.31,62.55,69.33,51.21,5.99
36,59.24,61.17,69.67,46.20,7.71
37,58.61,58.81,74.30,44.00,7.89
38,58.20,59.29,66.64,48.07,5.37
39,59.98,59.65,69.73,49.40,6.17
40,58.70,59.64,67.06,51.21,4.90
41,60.30,59.80,70.33,50.58,6.91
42,62.74,60.13,77.43,49.83,7.91
43,61.76,60.44,72.00,51.57,6.15
44,63.55,63.25,68.32,57.19,2.97
45,60.45,58.12,71.20,51.87,6.86
46,59.38,60.79,68.00,42.27,6.87
47,57.12,58.66,70.28,43.00,8.02
48,59.79,61.12,66.77,49.84,4.69
49,57.96,58.80,72.00,49.90,6.70
50,58.50,60.44,66.00,47.37,6.08
51,62.17,59.69,75.20,54.79,6.17
52,58.65,58.43,67.50,48.69,5.91
53,62.04,62.50,72.50,55.00,5.27
54,57.50,58.67,68.00,41.00,7.94
55,58.72,60.09,63.17,48.80,3.93
56,61.78,60.96,72.00,54.17,4.53
57,61.23,62.63,67.24,48.00,6.16
58,60.42,60.41,66.03,53.04,3.66
59,59.58,59.42,66.20,53.16,3.48
60,61.75,61.71,68.64,50.88,5.30
61,63.07,61.16,76.00,55.81,6.44
62,61.46,60.12,69.94,50.55,5.38
63,61.77,62.12,69.06,55.67,4.96
64,58.88,58.83,67.55,52.89,4.74
65,59.10,58.78,73.88,48.00,6.79
66,59.43,58.46,71.25,51.50,5.28
67,60.97,60.38,66.75,56.94,2.73
68,59.57,61.41,66.40,46.79,5.78
69,60.13,60.17,73.00,52.14,5.74
70,58.03,61.09,65.56,46.07,6.61
71,58.10,57.72,72.06,46.50,6.95
72,57.60,60.30,70.53,38.00,8.37
73,58.95,62.73,66.89,49.00,6.84
74,58.77,59.99,69.82,43.00,7.07
75,57.54,58.69,74.62,42.43,10.07
76,57.66,57.63,67.33,48.00,6.01
77,60.53,59.76,71.09,51.53,6.34
78,63.72,62.88,72.06,56.31,5.83
79,60.17,59.72,71.78,51.27,5.28
80,56.98,55.73,71.48,45.11,7.73
81,57.79,59.73,73.18,45.81,7.75
82,58.09,59.77,70.63,47.05,6.99
83,58.16,58.43,68.86,50.08,5.73
84,57.07,57.43,68.11,47.80,6.89
85,59.32,58.53,68.36,50.69,5.01
86,59.00,57.87,69.44,54.09,4.12
87,59.14,57.46,70.80,49.54,5.61
88,60.50,59.77,75.27,52.00,6.06
89,62.91,62.65,78.00,51.64,6.15
90,61.19,61.52,71.11,53.22,5.02
91,58.31,58.40,67.00,48.52,4.32
92,58.31,58.97,68.87,50.14,5.28
93,57.25,58.03,62.57,47.57,4.35
94,58.48,59.18,73.43,46.67,6.32
95,58.96,59.15,70.47,48.70,6.49
96,60.08,59.57,69.68,51.20,5.39
97,58.60,59.45,66.30,51.64,4.69
98,57.84,56.67,68.00,52.00,4.24
99,59.91,60.00,69.19,49.43,6.18
100,57.93,59.04,66.60,45.50,6.67
101,56.06,55.65,59.81,50.76,2.96
102,56.64,57.92,62.88,44.59,5.53
103,58.84,59.25,69.00,51.89,5.86
104,59.38,59.05,69.38,52.83,4.83
105,58.99,59.54,66.77,48.18,5.53
106,57.09,58.00,70.55,45.90,6.52
107,55.76,55.98,65.00,45.00,6.51
108,58.56,57.71,70.77,48.00,6.43
109,57.80,57.72,65.90,47.33,5.34
110,58.60,60.70,68.11,49.91,5.96
111,56.47,56.37,67.00,46.45,6.15
112,60.82,59.80,76.86,49.62,7.17
113,60.95,60.97,73.75,52.33,5.70
114,57.92,59.94,66.33,48.92,5.89
115,56.66,58.48,64.08,45.70,5.69
116,56.07,57.30,61.40,47.90,4.35
117,58.18,57.88,68.88,45.88,8.11
118,57.15,56.14,68.04,49.22,6.86
119,58.15,57.79,70.60,49.59,6.22
120,61.38,60.02,72.74,53.00,5.94
121,62.48,63.06,74.00,49.50,7.99
122,61.71,60.47,76.00,50.20,8.03
123,60.97,61.86,65.86,53.71,3.67
124,62.93,61.44,77.83,56.20,6.27
125,58.89,60.26,68.23,44.64,7.22
126,55.86,58.44,64.49,44.40,6.64
127,57.32,58.00,66.22,47.70,4.96
128,62.21,61.78,67.06,58.33,2.99
129,63.83,64.39,70.93,54.20,4.90
130,62.32,63.10,69.87,53.69,5.08
131,60.04,60.50,69.20,51.25,5.70
