cycle,mean,median,max,min,std
132,57.79,59.52,67.67,45.71,6.23
133,59.38,61.02,63.82,48.08,4.60
134,59.74,58.78,71.20,47.29,6.97
135,58.73,59.31,69.27,50.97,5.81
136,57.34,56.68,73.24,45.90,8.31
137,62.24,61.55,71.56,54.95,3.92
138,59.57,58.67,66.97,55.32,3.32
139,59.30,59.00,69.05,52.75,5.17
140,59.03,57.80,67.50,50.95,4.60
141,55.86,52.83,67.91,48.00,7.02
142,58.96,58.98,69.12,52.00,5.78
143,57.32,58.86,68.50,43.67,7.77
144,59.67,61.81,70.18,49.63,6.27
145,60.03,60.11,69.73,50.00,7.64
146,60.47,60.08,69.44,52.60,4.60
147,61.25,60.45,69.64,52.27,5.20
148,60.69,61.72,74.67,48.00,7.14
149,59.47,61.24,65.73,46.07,5.65
150,58.39,57.00,72.32,48.00,7.30
151,56.02,56.81,63.35,44.68,6.62
152,61.55,63.30,73.75,48.00,8.78
153,60.78,60.45,74.15,50.00,6.64
154,61.23,60.22,71.40,55.07,5.39
155,57.81,57.00,65.45,47.64,5.52
156,58.82,60.55,66.94,43.50,6.51
157,56.52,56.50,69.00,48.00,7.03
158,59.92,57.53,72.62,49.33,7.60
159,62.89,64.19,79.00,48.57,8.75
160,63.28,62.14,73.36,51.33,7.65
161,60.91,60.56,66.37,55.29,3.04
162,61.52,61.50,68.19,53.50,3.75
163,58.94,58.15,72.94,48.52,7.32
164,59.65,60.14,68.88,44.50,6.48
165,56.94,57.32,67.63,47.75,6.24
166,57.80,59.24,68.00,47.53,6.04
167,59.01,58.83,69.37,47.27,5.96
168,61.95,61.04,72.40,51.17,6.05
169,60.50,61.50,68.40,52.44,5.56
170,59.04,62.00,67.26,49.30,6.73
171,58.47,59.96,70.14,45.73,7.54
172,57.32,56.35,69.00,47.39,6.94
173,62.69,62.51,73.21,50.40,5.65
174,60.66,61.13,67.69,49.42,5.32
175,57.46,56.38,70.12,49.33,5.52
176,58.22,55.25,66.60,50.54,5.61
177,61.31,61.34,65.00,56.00,3.10
178,60.80,61.22,67.00,49.20,4.85
179,61.42,60.79,77.18,52.60,7.25
180,60.64,61.36,71.96,45.20,8.28
181,61.50,61.98,75.06,46.95,8.25
182,62.04,62.79,72.00,54.57,5.90
183,61.20,60.50,70.00,54.15,5.02
184,58.51,60.16,74.67,44.40,9.01
185,60.20,60.50,73.45,45.18,7.72
186,58.77,59.76,69.78,52.11,4.75
187,59.35,60.02,64.62,50.47,4.06
188,58.38,58.68,74.56,45.71,7.87
189,59.79,61.14,67.66,48.00,5.96
190,60.21,59.62,70.08,49.00,6.30
191,58.89,59.77,75.75,45.55,8.44
192,57.20,57.18,66.30,46.92,5.87
193,58.29,60.00,67.95,48.50,5.24
194,57.97,59.25,67.00,51.33,4.99
195,59.64,57.63,74.88,51.62,6.50
196,63.02,65.38,71.17,47.00,6.96
197,63.69,63.54,73.47,55.00,5.54
198,60.95,60.59,70.40,50.70,5.15
199,61.85,60.53,72.26,48.80,6.76
200,60.53,60.23,77.59,47.00,9.31
201,60.52,61.18,70.82,48.67,7.55
202,60.51,61.38,68.24,51.61,5.49
203,60.66,60.00,67.79,56.53,2.98
204,60.60,59.91,68.86,49.82,5.79
205,59.13,57.00,69.33,52.09,6.16
206,58.24,58.77,71.93,49.33,6.51
207,61.10,60.80,71.16,52.81,6.12
208,59.70,59.71,67.25,50.11,5.35
209,60.76,58.99,75.90,52.57,7.31
210,60.13,60.17,70.00,52.00,5.76
211,58.74,59.33,65.15,50.08,5.21
212,55.68,56.18,72.00,47.21,7.16
213,57.91,58.53,69.67,48.53,7.03
214,60.86,62.39,72.29,48.33,6.09
215,62.64,61.48,72.95,51.42,6.45
216,58.49,57.36,73.28,51.63,6.51
217,59.36,60.15,67.88,48.30,4.77
218,60.74,61.37,66.18,52.11,4.02
219,61.55,61.23,72.57,53.66,6.30
220,61.69,60.00,73.80,49.33,7.40
221,62.55,62.11,69.11,53.55,4.68
222,63.25,62.94,71.85,55.00,5.49
223,60.75,61.29,75.36,51.00,6.78
224,59.81,60.64,69.85,48.67,6.51
225,60.80,63.50,71.38,46.53,7.49
226,63.69,65.21,72.00,48.44,7.28
227,59.25,60.30,72.00,50.95,5.69
228,58.03,59.92,68.24,45.00,6.51
229,58.38,59.50,71.29,46.64,7.63
230,57.87,59.23,68.12,46.81,5.84
231,61.01,61.08,74.40,50.79,7.26
232,59.37,58.58,72.00,52.00,4.88
233,59.58,60.21,76.00,49.17,7.31
234,60.25,60.45,75.38,48.20,7.02
235,59.74,57.96,71.16,53.73,4.96
236,61.34,61.41,69.09,47.67,5.66
237,60.06,60.92,71.08,43.00,6.35
238,58.75,57.86,67.67,52.50,4.13
239,59.33,59.38,66.37,51.83,3.88
240,60.49,62.36,69.31,47.73,7.04
241,55.10,55.84,66.39,45.00,6.08
242,56.02,54.32,68.35,46.57,7.03
243,57.96,57.97,72.11,49.37,6.43
244,58.88,59.17,64.19,49.82,4.17
245,56.78,57.82,63.71,49.84,4.48
246,57.19,56.63,70.32,47.62,6.65
247,60.99,60.96,69.00,51.85,5.84
248,62.12,61.61,75.00,52.94,6.48
249,63.48,63.59,74.80,55.00,6.92
250,62.72,61.33,72.75,49.45,6.95
251,61.46,61.22,72.54,44.29,7.24
252,59.83,60.00,67.39,52.64,4.83
253,57.86,58.45,68.71,48.00,5.74
254,60.96,60.70,68.75,53.55,4.11
255,60.18,59.70,73.14,50.27,6.72
256,59.96,60.36,65.13,54.33,4.02
257,58.65,58.32,69.29,48.80,6.89
258,55.07,56.51,61.21,46.70,4.63
259,61.38,61.17,72.00,48.17,7.06
260,63.11,60.97,77.00,55.79,6.13
261,60.97,60.17,73.33,51.11,7.34
262,58.88,57.53,74.00,52.44,5.46
263,60.57,59.98,71.10,53.87,4.78
264,60.82,59.60,69.12,55.00,4.81
265,58.07,58.23,67.00,48.90,5.88
266,60.18,59.35,71.93,53.82,5.52
267,60.10,61.56,65.00,52.95,4.29
268,59.62,60.53,67.67,49.10,5.33
269,57.35,56.54,73.14,44.75,8.09
270,62.85,60.55,70.33,50.50,6.14
271,63.40,64.14,72.37,50.75,5.87
272,60.13,58.69,71.93,53.94,5.39
273,57.47,57.80,69.83,43.67,8.14
274,58.61,59.11,70.00,45.00,6.90
275,57.31,57.93,69.75,43.43,8.34
276,57.75,55.77,71.73,43.00,8.10
277,60.82,61.38,67.60,48.18,5.36
278,61.07,60.00,67.88,52.75,5.10
279,60.41,60.59,73.33,52.86,5.76
280,58.18,58.84,72.00,47.12,7.88
281,60.57,59.65,73.20,51.15,6.56
282,60.42,60.70,72.52,51.56,6.12
283,59.28,59.02,67.67,49.32,5.63
284,60.79,61.59,67.97,53.34,4.63
285,59.66,58.92,72.31,50.74,5.93
286,61.52,61.23,70.25,51.89,5.37
287,60.26,61.17,64.38,53.57,3.19
288,63.06,63.83,73.00,51.85,5.52
289,56.71,58.90,64.88,48.93,5.91
290,56.66,57.89,66.12,45.17,6.02
291,57.29,58.20,72.36,40.00,8.22
292,61.19,64.16,70.79,48.19,7.55
293,58.05,58.31,72.36,47.50,6.69
294,60.03,61.64,67.72,51.60,5.93
295,61.80,60.67,74.04,50.23,7.42
296,60.57,61.07,71.44,42.91,8.24
297,59.77,60.83,67.30,44.50,5.80
298,62.65,61.40,71.44,55.46,5.29
299,59.83,60.51,65.37,52.43,4.16
