cycle,mean,median,max,min,std
0,59.81,59.71,63.52,54.52,2.74
1,60.64,59.74,71.62,54.24,4.96
2,61.31,60.73,70.85,52.57,5.42
3,57.93,58.78,67.00,47.42,5.70
4,60.89,62.00,72.40,48.00,7.26
5,59.24,59.70,72.00,48.91,6.24
6,59.84,58.13,74.60,47.50,8.60
7,59.99,60.34,72.14,52.21,6.15
8,61.10,60.96,67.30,55.85,3.86
9,60.71,60.19,66.38,54.20,4.01
10,60.58,60.25,71.18,48.00,7.14
11,60.06,60.00,73.39,47.36,6.95
12,58.41,58.76,68.33,46.89,6.36
13,58.44,57.39,69.62,43.00,7.96
14,60.01,59.65,69.96,50.82,5.58
15,62.00,63.63,73.50,48.00,7.51
16,63.41,62.23,79.00,56.29,6.10
17,59.95,60.32,77.00,49.33,7.83
18,58.04,59.43,73.08,47.72,10.13
19,60.11,59.29,72.71,48.89,6.98
20,58.71,57.32,67.91,48.60,5.68
21,61.58,62.63,68.11,53.60,4.93
22,61.57,60.31,72.00,52.71,6.27
23,61.02,60.16,74.50,50.29,7.17
24,63.42,62.25,73.60,55.37,6.22
25,58.69,59.32,69.40,47.09,6.22
26,61.87,61.72,70.60,50.61,6.27
27,61.97,60.87,78.30,50.28,7.79
28,57.20,55.95,69.82,42.82,7.00
29,60.95,59.92,72.72,52.55,5.68
30,59.82,61.43,72.90,44.75,8.98
31,60.01,59.22,75.21,51.56,6.99
32,57.97,57.77,65.38,52.27,4.22
33,58.65,57.84,68.57,49.58,6.02
34,60.52,61.77,69.69,52.03,5.90
35,61.37,63.25,73.86,51.90,6.62
36,56.82,56.87,68.25,41.70,7.20
37,59.96,58.13,71.24,52.50,5.87
38,60.30,59.55,71.70,53.39,5.06
39,61.15,60.42,73.24,48.80,7.58
40,60.92,60.06,69.54,55.11,4.74
41,58.26,59.48,62.70,48.89,4.41
42,59.44,60.00,67.64,50.15,4.74
43,59.16,58.71,69.46,50.10,5.50
44,56.45,57.80,63.09,46.25,5.59
45,57.69,56.51,67.20,49.57,5.34
46,60.62,59.82,72.74,53.42,5.53
47,60.97,60.08,70.38,50.22,7.01
48,60.72,60.13,69.21,47.46,6.04
49,62.35,62.17,73.40,47.42,6.92
50,61.48,60.86,70.60,51.50,6.20
51,59.14,59.14,74.23,48.93,7.64
52,59.01,60.31,70.00,46.25,6.63
53,59.12,60.67,67.24,43.00,8.16
54,60.98,60.05,73.82,52.19,6.09
55,63.64,63.33,72.75,54.95,6.69
56,59.20,58.88,71.22,48.00,8.27
57,60.66,59.62,76.00,49.50,7.79
58,62.48,61.91,74.86,48.97,7.64
59,61.68,61.88,68.90,55.67,3.93
60,60.24,59.51,69.41,53.50,4.20
61,58.62,59.18,69.48,48.77,5.99
62,59.16,59.05,67.00,50.64,4.71
63,62.30,62.15,68.62,54.61,4.73
64,63.99,65.75,73.80,53.16,7.17
65,60.07,60.10,72.00,50.31,7.85
66,57.51,57.49,65.32,48.40,5.39
67,58.87,60.60,64.00,51.47,4.33
68,62.46,62.96,69.10,57.31,3.48
69,61.86,63.10,68.18,54.60,4.35
70,62.34,62.71,72.65,55.00,5.13
71,59.83,59.98,68.62,47.95,5.59
72,59.69,61.58,72.41,45.50,7.31
73,60.76,60.00,67.07,56.33,3.63
74,59.76,60.01,70.40,46.44,6.08
75,59.57,60.12,69.50,52.83,5.77
76,58.95,60.00,68.57,44.80,6.06
77,58.27,58.72,67.62,47.81,5.29
78,59.64,57.89,68.18,48.27,6.01
79,61.43,61.33,71.52,53.84,6.30
80,61.45,60.07,71.00,56.04,4.87
81,60.28,61.56,68.00,47.93,5.63
82,59.21,62.00,71.15,42.40,8.35
83,60.56,61.83,67.57,47.33,6.70
84,58.77,58.93,69.43,47.83,5.42
85,58.56,56.43,70.71,50.85,6.29
86,59.54,58.62,69.22,51.05,5.75
87,61.35,59.91,77.08,53.80,5.59
88,63.40,61.11,79.11,52.88,7.68
89,61.54,61.59,69.20,54.46,4.82
90,61.25,62.20,67.64,45.96,6.35
91,57.17,57.44,65.89,46.07,6.44
92,57.76,57.13,66.12,50.42,4.94
93,58.08,58.62,65.65,50.00,5.95
