cycle,mean,median,max,min,std
94,57.85,58.92,74.00,45.00,7.26
95,57.51,57.37,64.27,49.87,4.32
96,58.53,58.05,68.95,52.20,5.62
97,59.86,59.73,65.78,56.10,3.35
98,61.31,59.24,74.10,55.04,5.76
99,60.47,62.09,64.62,52.48,4.18
100,60.41,60.00,67.67,52.44,4.03
101,59.72,60.27,68.96,45.00,6.49
102,60.62,62.08,74.00,47.11,7.54
103,57.21,59.29,72.29,46.05,8.07
104,57.28,56.48,68.09,48.00,5.37
105,57.06,56.06,67.89,48.44,5.57
106,60.24,60.83,69.25,52.62,5.48
107,62.31,62.41,72.50,55.00,5.40
108,59.45,59.70,65.71,52.45,4.81
109,59.84,60.11,70.67,48.84,5.68
110,60.22,60.14,74.33,49.03,7.36
111,57.40,57.47,61.91,52.07,3.28
112,63.27,63.27,72.25,50.00,6.02
113,61.18,61.84,68.36,49.75,5.43
114,57.24,57.47,65.83,50.21,5.77
115,59.10,57.50,67.14,51.27,5.07
116,59.10,59.90,73.38,45.00,8.02
117,60.16,59.74,70.89,48.50,5.51
118,60.35,59.93,70.86,50.82,6.13
119,62.34,60.25,72.12,58.08,4.32
120,63.17,62.58,74.19,52.00,6.00
121,59.90,60.70,71.54,46.57,6.87
122,61.50,59.67,76.00,49.33,7.45
123,63.34,61.79,74.28,49.82,6.65
124,62.26,62.10,72.38,53.17,6.00
125,59.94,60.37,67.80,50.42,5.94
126,61.39,61.45,67.72,51.78,5.22
127,62.50,62.79,72.54,48.53,6.42
128,61.44,60.00,67.73,55.14,4.28
129,61.74,62.61,67.09,54.68,4.25
130,60.14,59.09,70.00,50.50,5.43
131,58.76,59.00,73.00,49.60,6.42
132,55.48,53.73,63.67,46.68,5.23
133,56.08,55.23,63.25,49.33,4.11
134,58.54,56.86,68.25,51.00,5.59
135,58.48,57.67,71.11,50.40,6.46
136,61.47,60.51,71.38,51.41,6.57
137,60.26,61.83,71.67,46.29,6.89
138,59.14,57.48,73.56,47.85,7.39
139,59.83,61.60,72.12,45.62,7.01
140,59.28,58.92,67.00,47.86,5.52
141,62.59,61.33,72.00,58.62,4.31
142,61.69,60.85,69.76,52.50,5.08
143,61.18,60.28,72.40,51.00,5.93
144,62.99,64.18,72.69,50.21,7.35
145,62.49,61.00,75.13,49.21,7.01
146,58.88,58.55,68.67,50.20,5.46
147,57.65,58.02,67.00,48.00,5.03
148,60.11,60.73,69.56,51.88,5.54
149,60.12,58.97,70.75,45.17,7.73
150,57.41,56.72,65.63,48.00,5.11
151,60.30,60.90,67.62,52.80,5.18
152,61.24,61.07,71.22,46.38,7.44
153,62.90,62.33,72.00,54.35,4.95
154,62.42,61.96,71.96,52.84,5.80
155,62.65,61.79,72.10,55.58,5.35
156,62.24,60.44,75.38,55.83,5.78
157,62.32,60.05,77.44,51.50,9.27
158,59.34,60.12,69.50,46.12,7.14
159,59.48,58.99,69.92,50.00,6.44
160,57.72,57.15,70.60,49.43,6.09
161,53.90,54.61,65.43,42.33,6.90
162,60.27,61.45,72.87,46.79,7.69
163,60.48,60.21,72.62,49.35,5.89
164,60.74,59.24,71.02,57.00,4.86
165,59.46,59.36,66.07,50.71,4.24
166,61.64,60.05,74.42,48.80,6.93
167,62.59,62.03,72.00,50.33,6.06
168,61.65,61.00,75.33,50.44,6.16
169,62.16,60.96,73.00,53.80,6.63
170,62.51,62.56,72.00,51.38,5.92
171,60.04,60.30,67.00,55.00,3.20
172,59.94,61.60,65.50,49.15,5.36
173,62.67,61.18,79.00,57.70,5.67
174,60.44,59.62,73.30,47.57,7.11
175,58.43,55.91,67.65,50.95,5.09
176,59.12,58.00,71.86,46.93,7.73
177,59.12,59.33,71.00,48.00,6.40
178,62.59,62.46,69.73,51.23,5.09
179,60.83,61.30,67.89,51.47,4.53
180,59.90,60.00,70.89,43.00,7.34
181,59.80,59.61,74.38,49.79,6.47
182,59.47,58.27,75.17,48.11,6.34
183,60.90,59.76,73.42,54.95,4.67
184,60.36,58.56,72.00,49.33,6.24
185,58.20,58.39,71.11,46.12,5.98
186,59.26,60.15,67.67,52.71,4.63
187,60.99,59.51,72.11,51.13,6.23
188,63.83,65.02,75.00,52.22,6.32
189,61.98,61.61,74.48,51.22,7.66
190,61.29,60.22,73.83,51.91,6.87
191,61.87,60.22,75.47,50.24,8.40
192,57.97,57.97,64.12,48.25,5.54
193,58.95,59.33,68.47,50.79,5.50
194,57.64,58.81,63.69,48.00,4.75
195,58.70,57.95,71.19,48.00,6.30
196,59.85,60.32,63.10,53.47,2.81
197,57.22,57.18,67.13,47.00,6.64
198,60.39,59.64,70.32,45.38,7.34
199,62.36,63.41,68.93,49.30,5.48
200,62.28,62.78,72.00,52.86,5.88
201,58.86,58.43,68.59,49.40,4.99
202,60.15,59.65,65.46,56.10,3.34
203,61.95,59.73,72.00,50.93,6.71
204,61.39,59.56,74.47,54.86,5.69
205,63.00,63.24,73.12,55.64,4.72
206,60.78,61.05,72.94,51.50,6.49
207,60.11,60.41,67.90,47.79,5.41
208,59.98,58.10,71.07,48.00,7.96
209,57.79,59.42,69.31,47.22,6.67
210,59.45,58.93,77.83,47.40,10.02
211,57.47,55.73,72.00,44.70,8.55
212,58.30,60.52,67.25,48.00,6.06
213,60.30,57.30,70.60,54.70,5.49
214,61.16,61.20,68.00,49.11,6.01
215,60.14,57.48,75.94,49.96,7.38
216,60.56,60.23,68.88,49.50,6.04
217,58.81,59.77,66.65,50.97,5.57
218,60.95,59.25,70.21,53.60,5.46
219,60.36,60.79,67.57,54.00,5.27
220,58.14,58.20,66.25,48.00,4.66
221,57.96,56.86,67.40,54.65,3.61
222,57.47,59.15,68.24,45.75,7.54
223,59.92,59.83,69.25,50.43,6.25
224,64.23,63.61,79.00,50.88,8.66
225,61.88,62.42,69.62,50.00,6.18
226,61.21,60.61,69.00,54.24,4.03
227,59.30,57.89,75.76,46.29,8.80
228,58.95,59.06,71.67,49.00,8.35
229,61.15,60.58,68.00,55.13,4.09
230,59.15,58.08,65.50,51.56,4.57
231,62.95,62.67,71.89,51.88,5.65
232,62.57,62.50,69.60,54.29,4.31
233,59.15,60.17,65.90,46.19,6.08
234,58.70,58.78,70.03,52.78,4.22
235,59.73,59.55,71.94,47.00,7.30
236,56.73,55.83,66.47,43.89,7.17
237,56.01,56.26,69.22,44.75,8.26
238,57.73,56.60,64.69,52.00,4.34
239,56.97,57.30,66.42,45.90,5.12
240,61.40,59.53,79.00,54.60,7.15
241,58.79,57.94,76.67,48.00,9.77
242,54.45,56.77,62.70,46.48,6.21
243,57.77,56.38,68.86,48.46,7.16
244,58.23,58.12,64.67,48.00,4.67
245,57.58,57.00,68.25,44.81,6.03
246,59.06,60.22,72.00,47.30,6.38
247,60.73,59.75,69.29,55.82,3.75
248,60.14,58.99,70.73,50.10,5.41
249,58.66,59.50,69.25,48.00,6.16
250,57.28,56.71,69.00,46.14,6.69
251,58.21,58.26,68.43,50.05,5.11
252,59.40,58.04,68.25,51.82,6.12
253,58.90,58.88,66.61,48.67,5.89
254,61.13,59.76,70.14,55.00,5.08
255,60.76,61.19,72.00,47.57,6.07
256,59.31,59.38,70.04,46.75,6.22
257,60.51,59.89,67.46,54.00,4.37
258,62.37,59.08,74.17,54.47,7.78
259,59.39,60.47,72.79,46.25,7.94
260,62.67,61.40,72.00,51.78,6.28
261,60.75,60.60,69.65,51.19,5.63
262,56.60,57.24,60.00,50.00,2.59
263,57.13,56.00,68.83,45.60,7.94
264,59.53,61.00,73.43,43.00,8.35
265,58.88,60.50,65.65,47.50,5.86
266,60.78,61.96,68.44,45.37,6.64
267,61.32,60.96,70.20,53.89,4.50
268,60.28,60.19,64.83,52.12,3.43
269,59.83,60.00,64.38,48.94,3.91
270,59.17,58.33,65.97,53.00,4.38
271,60.51,60.78,70.00,51.60,5.93
272,60.71,61.28,71.09,51.24,5.18
273,62.14,60.92,73.83,53.85,6.14
274,62.88,62.15,72.50,58.00,4.58
275,61.44,59.58,73.00,52.10,6.65
276,59.16,57.86,73.65,43.00,9.98
277,61.04,61.53,75.69,49.33,9.55
278,62.57,62.59,73.05,51.82,6.44
279,64.60,60.95,77.00,58.75,6.21
280,63.68,62.57,74.11,55.63,6.60
281,60.21,58.38,73.27,48.62,7.97
282,58.85,59.32,67.12,49.30,5.73
283,60.41,60.81,70.55,51.87,5.07
284,61.56,60.09,71.65,54.47,5.25
285,61.34,60.92,69.62,51.14,5.28
286,62.22,59.92,73.92,47.50,7.44
287,60.91,61.38,70.65,43.88,7.11
288,60.70,60.38,68.00,50.61,5.20
289,58.12,57.60,70.00,48.15,7.02
290,57.82,56.07,67.89,45.44,6.90
291,59.91,60.85,67.97,42.82,7.03
292,59.56,58.20,73.25,49.65,6.32
293,59.45,59.29,68.62,51.75,4.98
294,61.22,61.93,73.32,49.56,6.98
295,60.94,61.62,79.00,46.29,8.50
296,57.33,58.53,64.89,49.97,4.49
297,61.07,60.73,72.94,49.00,7.73
298,59.98,60.28,72.82,49.62,6.19
299,61.93,62.57,67.00,57.62,3.18
