cycle,mean,median,max,min,std
51,59.79,61.33,73.38,47.65,9.03
52,58.45,56.89,69.04,46.60,7.59
53,62.06,61.24,75.75,51.86,6.70
54,63.64,62.38,78.42,56.81,6.28
55,61.58,60.04,81.00,47.96,7.89
56,60.73,59.55,70.71,55.06,4.08
57,58.98,59.42,69.36,49.70,4.71
58,60.42,60.29,74.10,48.82,6.08
59,60.03,60.22,72.00,52.17,5.92
60,60.41,59.98,71.58,48.94,6.61
61,60.17,60.00,69.27,54.32,3.95
62,58.85,59.64,65.80,49.47,4.60
63,61.65,60.21,75.00,54.24,6.00
64,61.50,60.38,72.21,50.81,5.73
65,61.09,60.48,71.53,50.20,6.32
66,59.46,60.37,69.77,50.25,5.24
67,55.42,55.43,70.07,45.00,8.17
68,58.45,59.42,67.08,48.00,5.78
69,57.76,59.14,68.30,47.45,6.72
70,58.80,57.67,73.33,48.00,6.28
71,59.45,61.33,76.29,43.00,9.16
72,60.09,61.60,70.47,46.75,7.32
73,58.94,60.24,62.94,50.82,3.78
74,62.32,60.25,74.18,57.08,5.50
75,59.27,59.52,71.20,43.00,7.44
76,58.73,58.35,70.23,48.54,6.20
77,56.73,58.34,63.00,45.56,5.32
78,60.15,58.96,70.19,50.00,6.50
79,56.89,58.62,66.69,46.11,6.74
80,59.92,61.31,72.12,48.50,6.32
81,60.25,61.12,65.17,53.32,3.95
82,58.79,58.51,67.20,52.67,4.27
83,58.47,61.61,68.80,47.38,7.68
84,59.57,58.73,67.64,42.41,6.49
85,60.09,58.88,75.80,52.78,6.10
86,61.12,60.50,73.31,45.00,7.79
87,59.31,58.03,79.00,45.00,8.47
88,60.06,59.28,71.33,48.00,7.39
89,59.86,57.79,75.79,47.62,8.78
90,59.89,60.10,76.00,46.78,8.47
91,59.16,60.64,65.36,50.03,5.21
92,60.25,60.40,67.00,52.30,4.56
93,61.72,62.33,67.93,49.44,5.51
94,60.70,59.51,74.74,53.70,5.83
95,61.33,60.41,79.80,49.71,7.55
96,62.61,62.12,71.57,51.50,6.50
97,59.95,60.86,67.30,49.65,5.29
98,60.58,60.73,66.58,55.33,4.05
99,61.84,61.62,70.69,51.95,6.79
100,61.60,60.70,71.00,54.35,4.80
101,59.75,60.00,66.21,52.00,3.85
102,61.40,61.51,72.69,50.83,5.35
103,60.88,60.97,69.77,50.54,5.69
104,59.09,59.00,66.50,50.67,4.46
105,60.69,60.62,66.78,53.11,4.41
106,62.33,60.61,72.00,54.50,5.30
107,61.69,61.70,72.00,48.86,5.72
108,59.95,58.98,70.16,47.85,6.28
109,61.52,60.55,72.62,48.00,7.44
110,61.01,61.06,69.39,51.27,5.24
111,60.45,59.63,66.83,55.96,3.64
112,60.79,59.13,73.22,48.73,7.60
113,63.02,63.30,76.00,45.40,8.99
114,62.10,61.29,68.69,55.64,4.13
115,63.95,64.12,74.62,56.00,5.06
116,59.88,59.70,69.43,53.18,4.43
117,61.44,62.50,74.50,50.00,8.31
118,57.76,58.33,71.18,48.89,6.50
119,60.62,61.86,66.90,43.00,6.56
120,59.20,59.92,66.67,48.88,5.58
121,61.08,60.00,72.00,53.08,5.39
122,60.12,58.84,67.08,50.00,5.54
123,59.28,60.50,68.67,47.83,7.11
124,58.16,59.84,72.62,47.15,8.14
125,63.39,63.15,75.95,52.21,7.14
126,57.85,58.76,64.00,49.00,4.69
127,58.75,58.24,71.20,51.07,6.23
128,59.35,60.01,69.65,50.16,5.24
129,65.37,66.86,73.08,56.86,5.37
130,65.55,66.13,72.44,56.57,5.56
131,62.32,64.41,68.40,49.80,5.65
132,62.08,59.60,69.62,56.18,5.03
133,59.72,60.80,66.00,50.23,4.39
134,62.40,62.61,68.09,48.50,5.59
135,61.95,63.80,69.33,46.91,5.93
136,60.84,62.67,72.52,46.92,8.09
137,57.44,58.76,68.64,45.94,6.92
138,57.77,57.48,68.48,49.20,6.11
139,61.35,62.26,70.21,49.73,5.93
140,61.52,61.50,77.11,47.82,7.40
141,58.90,58.64,73.11,53.06,6.06
142,57.69,60.39,71.62,45.09,8.04
143,60.78,58.40,71.16,50.48,7.13
144,58.22,57.11,70.94,50.33,7.56
145,60.79,60.14,71.21,53.50,5.32
146,60.66,60.29,69.83,52.00,5.31
147,60.18,61.03,70.41,48.62,6.59
148,62.21,63.19,69.14,52.17,5.58
149,59.57,58.11,75.06,51.68,5.84
150,61.03,59.30,72.48,51.00,7.30
151,63.00,64.91,69.27,55.67,5.58
152,61.18,60.17,69.62,52.38,4.86
153,61.23,59.60,75.25,50.80,7.66
154,61.23,60.91,72.82,46.75,6.68
155,63.68,64.74,73.75,50.20,7.12
156,60.35,61.98,70.07,44.89,6.60
157,62.48,61.86,68.50,53.08,3.96
158,61.86,62.58,68.62,48.00,5.06
159,60.76,60.12,71.11,45.07,7.60
160,58.55,60.62,66.25,46.12,6.14
161,60.01,59.65,71.77,47.64,7.91
162,61.25,62.58,71.60,48.00,7.76
163,59.22,59.32,70.60,52.75,4.84
164,60.09,60.39,69.62,51.00,5.32
165,59.29,59.09,76.00,48.14,8.43
166,59.66,60.10,69.00,48.66,5.86
167,60.64,60.02,71.42,47.86,6.40
168,59.11,59.93,64.50,46.57,4.86
169,59.11,60.17,69.17,46.73,6.70
170,58.22,57.83,66.50,47.36,5.41
171,61.38,62.66,70.68,52.75,4.87
172,61.60,62.07,66.94,57.48,2.44
173,63.85,65.35,77.25,52.42,7.26
174,60.67,60.74,71.36,48.00,5.96
175,60.77,61.20,70.27,50.80,5.28
176,59.42,59.55,65.50,51.27,4.40
177,61.77,62.54,70.73,51.60,5.97
178,59.81,60.23,68.67,51.43,5.31
179,61.11,61.13,69.11,51.67,5.17
180,60.99,62.00,69.31,48.57,6.07
181,58.93,60.90,71.67,43.17,7.75
182,56.95,56.91,66.87,47.44,5.58
183,59.80,59.32,72.60,48.43,6.45
184,58.65,56.38,71.69,43.00,7.83
185,58.12,57.53,67.40,48.94,5.30
186,61.43,61.56,71.00,47.94,6.53
187,61.83,61.98,77.00,47.62,9.08
188,60.26,60.15,70.92,49.83,5.15
189,61.06,61.75,71.62,47.21,7.21
190,63.57,63.43,73.58,50.86,6.55
191,63.22,63.89,71.41,54.33,5.43
192,59.23,60.27,70.45,43.77,8.32
193,59.34,58.29,69.57,51.41,5.02
194,58.87,59.48,67.67,48.92,6.25
195,59.65,59.13,67.50,53.33,4.61
196,56.99,58.90,62.40,48.00,5.03
197,61.15,60.75,75.00,50.88,6.51
198,57.80,58.18,64.25,50.00,4.42
199,59.60,59.26,69.07,50.00,5.07
200,58.59,59.65,71.12,44.50,8.14
201,60.66,60.61,68.90,50.44,4.81
202,59.06,57.95,71.83,46.33,6.37
203,59.89,60.25,72.46,46.86,8.75
204,60.98,60.62,75.00,46.25,7.55
205,62.32,60.54,72.11,55.85,6.10
206,60.77,61.05,73.20,48.35,8.49
207,57.79,56.40,68.22,46.18,6.29
208,61.40,63.02,69.79,50.32,6.25
209,59.30,59.15,72.14,50.23,5.82
210,59.70,58.80,72.00,47.86,7.31
211,57.59,58.68,66.12,45.12,6.90
212,58.46,59.50,67.80,48.00,6.85
213,60.70,60.59,74.33,50.00,6.32
214,61.89,60.59,68.03,58.65,3.35
215,60.81,60.42,67.67,49.57,4.88
216,57.95,58.33,67.97,47.14,6.37
217,59.66,60.17,68.50,41.50,6.31
218,61.69,61.51,71.29,52.92,5.33
219,61.21,62.74,67.03,48.62,6.17
220,60.54,61.91,71.93,48.64,7.31
221,59.91,60.10,72.03,49.44,6.96
222,55.53,55.11,65.00,46.00,6.20
223,59.13,59.75,71.30,47.73,6.19
224,58.02,59.10,69.67,48.00,6.51
225,57.81,59.15,67.29,49.17,5.56
226,60.77,59.66,71.92,52.56,5.90
227,59.72,60.24,69.06,49.23,6.12
228,60.41,59.83,67.85,54.80,3.88
229,59.88,58.95,67.00,55.14,3.81
230,56.11,57.30,66.47,49.60,5.53
231,60.43,59.31,72.00,45.62,7.30
232,61.23,62.89,69.10,48.88,6.74
233,59.47,59.15,70.00,52.34,5.10
234,60.44,60.26,76.00,49.50,7.79
235,61.03,60.81,70.56,53.20,5.88
236,59.06,60.89,67.50,49.94,6.20
237,59.34,59.96,70.67,46.50,7.04
238,59.64,58.00,71.73,45.86,8.39
239,58.41,57.35,74.30,47.22,6.78
240,57.65,57.53,66.71,47.28,7.03
241,60.32,61.72,67.57,48.00,5.59
242,57.86,58.35,70.71,48.16,5.96
243,57.99,58.67,64.50,49.75,4.26
244,61.77,62.29,72.12,51.50,6.58
245,59.84,59.04,71.14,50.55,6.87
246,62.03,63.71,73.00,52.00,6.54
247,60.53,60.25,73.14,53.27,5.34
248,59.28,57.75,74.50,48.00,8.17
249,58.44,59.09,68.67,47.10,7.26
250,59.72,60.18,72.00,49.41,6.10
251,56.39,56.77,62.82,48.00,4.72
252,60.02,59.94,69.89,46.80,7.54
253,58.99,58.25,72.00,54.90,4.62
254,58.22,58.48,66.92,48.00,5.81
255,58.90,57.92,68.20,50.19,5.19
256,59.58,60.00,72.06,43.39,8.54
257,59.74,59.62,72.52,49.75,6.45
258,61.48,63.66,70.62,48.57,6.86
259,60.03,61.46,68.32,41.00,7.22
260,58.65,55.82,69.93,51.15,7.31
261,58.46,59.78,63.52,47.47,4.60
262,60.02,60.70,72.78,49.21,7.95
263,61.87,61.28,69.25,56.35,4.67
264,56.81,56.25,68.75,47.81,6.12
265,59.37,58.26,71.40,49.14,7.23
266,57.00,55.89,66.37,46.83,5.98
267,59.13,61.23,67.87,49.80,5.84
268,57.35,58.68,76.00,45.22,8.62
269,57.11,55.36,74.50,46.50,8.44
270,59.87,58.55,69.60,50.79,6.08
271,60.88,61.58,79.00,47.60,7.84
272,59.45,57.15,70.46,51.00,5.70
273,61.18,59.73,73.22,51.75,6.94
274,62.63,62.97,71.86,47.57,7.28
275,63.36,62.71,72.86,59.23,4.09
276,60.53,59.49,71.75,48.42,6.29
277,59.73,59.81,70.00,52.38,5.27
278,62.00,61.96,72.57,47.69,9.54
279,58.23,60.38,65.25,46.07,6.73
280,58.48,55.41,73.00,47.72,7.24
281,55.38,54.85,67.00,48.23,5.37
282,56.47,55.86,66.48,44.80,6.83
283,58.71,58.68,70.31,47.05,6.96
284,60.78,62.20,71.35,48.00,7.87
285,63.67,65.29,71.18,52.25,6.56
286,59.54,58.86,73.40,47.89,7.77
287,57.06,56.82,68.92,45.60,7.06
288,56.35,56.55,65.14,49.30,5.30
289,61.22,61.17,70.53,51.40,6.36
290,61.12,60.07,73.44,48.19,7.78
291,59.44,59.80,76.57,44.92,10.15
292,59.65,58.95,72.63,50.08,7.31
293,61.70,63.14,74.80,47.00,7.09
294,60.94,61.33,70.29,52.46,5.23
295,60.68,61.44,66.94,51.31,4.23
296,57.68,58.40,62.67,49.68,4.23
297,59.74,59.09,70.24,49.33,6.66
298,61.71,62.78,70.81,49.80,6.92
299,61.89,62.39,68.61,48.38,5.69
