cycle,mean,median,max,min,std
0,59.78,58.38,68.46,53.23,5.13
1,61.84,61.30,72.00,46.12,7.42
2,60.58,62.10,69.89,48.28,7.63
3,62.83,62.72,75.55,56.73,4.96
4,60.62,61.95,71.41,48.78,6.95
5,63.10,61.98,71.39,57.97,4.41
6,63.07,63.95,70.00,56.00,4.13
7,62.33,63.04,69.81,51.88,5.59
8,60.22,60.33,69.00,49.86,5.73
9,58.15,60.00,68.53,47.27,5.92
10,61.44,61.49,72.00,53.90,4.91
11,61.45,61.66,73.00,47.42,7.01
12,62.31,62.62,68.70,54.64,3.89
13,60.55,62.43,69.33,48.57,7.09
14,58.31,60.23,70.42,47.83,6.34
15,56.61,57.19,61.60,50.07,3.55
16,61.92,62.68,70.15,52.20,5.97
17,59.47,59.69,68.04,51.63,5.72
18,60.26,58.36,74.25,50.25,8.33
19,59.71,59.43,66.27,51.10,4.50
20,60.47,59.79,67.83,51.38,4.87
21,62.13,62.39,71.67,52.05,5.84
22,60.93,60.12,74.22,49.14,8.56
23,62.16,60.56,79.00,47.44,8.23
24,62.09,62.16,72.00,55.42,4.39
25,61.21,60.95,72.73,52.62,5.68
26,62.69,62.84,71.00,54.55,5.20
27,59.32,59.21,65.87,52.27,4.60
28,56.61,59.08,64.94,43.36,7.20
29,58.29,54.98,71.19,50.30,6.96
30,60.83,60.77,72.33,45.56,8.52
31,60.04,60.50,69.36,47.14,5.74
32,59.97,61.36,67.00,48.52,6.19
33,58.93,60.22,69.00,49.72,5.67
34,60.02,59.00,72.00,52.95,5.84
35,62.82,62.12,73.60,55.00,5.69
36,61.25,61.32,70.73,55.00,4.62
37,60.55,58.45,70.78,52.95,6.69
38,59.65,58.84,69.87,49.41,6.42
39,60.55,60.25,71.25,49.20,6.31
40,59.07,57.25,65.67,53.71,4.63
41,60.36,60.82,70.58,48.00,5.72
42,57.85,58.11,65.25,50.15,5.01
43,59.66,60.72,68.00,42.25,6.57
44,57.81,59.15,66.64,45.29,6.58
45,58.07,58.50,62.81,51.62,3.22
46,58.90,59.94,67.00,51.24,4.17
47,58.76,55.92,73.25,44.50,8.78
48,58.96,57.17,72.00,47.00,8.00
49,58.70,60.08,72.00,48.00,7.61
50,61.29,59.50,76.11,53.53,6.26
